Date,Open,High,Low,Close,Adj Close,Volume
2023-04-10,29.650000,29.650000,29.650000,29.650000,28.650944,0
2023-04-11,29.860001,29.860001,29.860001,29.860001,28.853868,0
2023-04-12,29.940001,29.940001,29.940001,29.940001,28.931171,0
2023-04-13,30.340000,30.340000,30.340000,30.340000,29.317694,0
2023-04-14,30.240000,30.240000,30.240000,30.240000,29.221064,0
2023-04-17,30.240000,30.240000,30.240000,30.240000,29.221064,0
2023-04-18,30.340000,30.340000,30.340000,30.340000,29.317694,0
2023-04-19,30.180000,30.180000,30.180000,30.180000,29.163086,0
2023-04-20,30.139999,30.139999,30.139999,30.139999,29.124434,0
2023-04-21,30.150000,30.150000,30.150000,30.150000,29.134094,0
2023-04-24,30.190001,30.190001,30.190001,30.190001,29.172749,0
2023-04-25,29.760000,29.760000,29.760000,29.760000,28.757236,0
2023-04-26,29.770000,29.770000,29.770000,29.770000,28.766901,0
2023-04-27,30.110001,30.110001,30.110001,30.110001,29.095446,0
2023-04-28,30.170000,30.170000,30.170000,30.170000,29.153419,0
2023-05-01,30.100000,30.100000,30.100000,30.100000,29.085781,0
2023-05-02,29.840000,29.840000,29.840000,29.840000,28.834541,0
2023-05-03,29.879999,29.879999,29.879999,29.879999,28.873190,0
2023-05-04,29.910000,29.910000,29.910000,29.910000,28.902182,0
2023-05-05,30.299999,30.299999,30.299999,30.299999,29.279043,0
2023-05-08,30.350000,30.350000,30.350000,30.350000,29.327356,0
2023-05-09,30.219999,30.219999,30.219999,30.219999,29.201736,0
2023-05-10,30.209999,30.209999,30.209999,30.209999,29.192074,0
2023-05-11,30.070000,30.070000,30.070000,30.070000,29.056791,0
2023-05-12,29.950001,29.950001,29.950001,29.950001,28.940836,0
2023-05-15,30.219999,30.219999,30.219999,30.219999,29.201736,0
2023-05-16,29.990000,29.990000,29.990000,29.990000,28.979488,0
2023-05-17,30.090000,30.090000,30.090000,30.090000,29.076118,0
2023-05-18,30.020000,30.020000,30.020000,30.020000,29.008474,0
2023-05-19,30.120001,30.120001,30.120001,30.120001,29.105106,0
2023-05-22,30.200001,30.200001,30.200001,30.200001,29.182411,0
2023-05-23,29.830000,29.830000,29.830000,29.830000,28.824879,0
2023-05-24,29.459999,29.459999,29.459999,29.459999,28.467342,0
2023-05-25,29.370001,29.370001,29.370001,29.370001,28.380379,0
2023-05-26,29.680000,29.680000,29.680000,29.680000,28.679934,0
2023-05-30,29.420000,29.420000,29.420000,29.420000,28.428694,0
2023-05-31,29.139999,29.139999,29.139999,29.139999,28.158127,0
2023-06-01,29.559999,29.559999,29.559999,29.559999,28.563976,0
2023-06-02,29.959999,29.959999,29.959999,29.959999,28.950497,0
2023-06-05,29.910000,29.910000,29.910000,29.910000,28.902182,0
2023-06-06,30.100000,30.100000,30.100000,30.100000,29.085781,0
2023-06-07,29.930000,29.930000,29.930000,29.930000,28.921509,0
2023-06-08,30.160000,30.160000,30.160000,30.160000,29.143761,0
2023-06-09,30.180000,30.180000,30.180000,30.180000,29.163086,0
2023-06-12,30.309999,30.309999,30.309999,30.309999,29.288706,0
2023-06-13,30.549999,30.549999,30.549999,30.549999,29.520618,0
2023-06-14,30.680000,30.680000,30.680000,30.680000,29.646236,0
2023-06-15,30.980000,30.980000,30.980000,30.980000,29.936127,0
2023-06-16,30.600000,30.600000,30.600000,30.600000,29.886320,0
2023-06-20,30.200001,30.200001,30.200001,30.200001,29.495647,0
2023-06-21,30.170000,30.170000,30.170000,30.170000,29.466347,0
2023-06-22,30.020000,30.020000,30.020000,30.020000,29.319845,0
2023-06-23,29.570000,29.570000,29.570000,29.570000,28.880342,0
2023-06-26,29.620001,29.620001,29.620001,29.620001,28.929176,0
2023-06-27,29.840000,29.840000,29.840000,29.840000,29.144045,0
2023-06-28,29.840000,29.840000,29.840000,29.840000,29.144045,0
2023-06-29,29.780001,29.780001,29.780001,29.780001,29.085443,0
2023-06-30,30.100000,30.100000,30.100000,30.100000,29.397980,0
2023-07-03,30.190001,30.190001,30.190001,30.190001,29.485882,0
2023-07-05,29.959999,29.959999,29.959999,29.959999,29.261246,0
2023-07-06,29.459999,29.459999,29.459999,29.459999,28.772905,0
2023-07-07,29.650000,29.650000,29.650000,29.650000,28.958475,0
2023-07-10,29.719999,29.719999,29.719999,29.719999,29.026844,0
2023-07-11,30.010000,30.010000,30.010000,30.010000,29.310080,0
2023-07-12,30.510000,30.510000,30.510000,30.510000,29.798416,0
2023-07-13,30.990000,30.990000,30.990000,30.990000,30.267223,0
2023-07-14,30.860001,30.860001,30.860001,30.860001,30.140255,0
2023-07-17,30.830000,30.830000,30.830000,30.830000,30.110954,0
2023-07-18,30.940001,30.940001,30.940001,30.940001,30.218390,0
2023-07-19,30.940001,30.940001,30.940001,30.940001,30.218390,0
2023-07-20,30.770000,30.770000,30.770000,30.770000,30.052355,0
2023-07-21,30.780001,30.780001,30.780001,30.780001,30.062120,0
2023-07-24,30.840000,30.840000,30.840000,30.840000,30.120722,0
2023-07-25,31.000000,31.000000,31.000000,31.000000,30.276989,0
2023-07-26,31.049999,31.049999,31.049999,31.049999,30.325821,0
2023-07-27,30.920000,30.920000,30.920000,30.920000,30.198854,0
