Date,Open,High,Low,Close,Adj Close,Volume
2023-04-10,9.740000,9.740000,9.740000,9.740000,9.474606,0
2023-04-11,9.750000,9.750000,9.750000,9.750000,9.484334,0
2023-04-12,9.760000,9.760000,9.760000,9.760000,9.494061,0
2023-04-13,9.740000,9.740000,9.740000,9.740000,9.474606,0
2023-04-14,9.700000,9.700000,9.700000,9.700000,9.435697,0
2023-04-17,9.650000,9.650000,9.650000,9.650000,9.387056,0
2023-04-18,9.660000,9.660000,9.660000,9.660000,9.396785,0
2023-04-19,9.650000,9.650000,9.650000,9.650000,9.387056,0
2023-04-20,9.690000,9.690000,9.690000,9.690000,9.425967,0
2023-04-21,9.670000,9.670000,9.670000,9.670000,9.406513,0
2023-04-24,9.710000,9.710000,9.710000,9.710000,9.445424,0
2023-04-25,9.780000,9.780000,9.780000,9.780000,9.513516,0
2023-04-26,9.740000,9.740000,9.740000,9.740000,9.474606,0
2023-04-27,9.690000,9.690000,9.690000,9.690000,9.425967,0
2023-04-28,9.740000,9.740000,9.740000,9.740000,9.498130,0
2023-05-01,9.650000,9.650000,9.650000,9.650000,9.410364,0
2023-05-02,9.740000,9.740000,9.740000,9.740000,9.498130,0
2023-05-03,9.780000,9.780000,9.780000,9.780000,9.537137,0
2023-05-04,9.760000,9.760000,9.760000,9.760000,9.517635,0
2023-05-05,9.730000,9.730000,9.730000,9.730000,9.488380,0
2023-05-08,9.680000,9.680000,9.680000,9.680000,9.439621,0
2023-05-09,9.670000,9.670000,9.670000,9.670000,9.429869,0
2023-05-10,9.730000,9.730000,9.730000,9.730000,9.488380,0
2023-05-11,9.750000,9.750000,9.750000,9.750000,9.507883,0
2023-05-12,9.710000,9.710000,9.710000,9.710000,9.468876,0
2023-05-15,9.680000,9.680000,9.680000,9.680000,9.439621,0
2023-05-16,9.660000,9.660000,9.660000,9.660000,9.420117,0
2023-05-17,9.640000,9.640000,9.640000,9.640000,9.400613,0
2023-05-18,9.590000,9.590000,9.590000,9.590000,9.351855,0
2023-05-19,9.570000,9.570000,9.570000,9.570000,9.332352,0
2023-05-22,9.560000,9.560000,9.560000,9.560000,9.322600,0
2023-05-23,9.570000,9.570000,9.570000,9.570000,9.332352,0
2023-05-24,9.550000,9.550000,9.550000,9.550000,9.312849,0
2023-05-25,9.500000,9.500000,9.500000,9.500000,9.264091,0
2023-05-26,9.510000,9.510000,9.510000,9.510000,9.273841,0
2023-05-30,9.580000,9.580000,9.580000,9.580000,9.342103,0
2023-05-31,9.610000,9.610000,9.610000,9.610000,9.395878,0
2023-06-01,9.630000,9.630000,9.630000,9.630000,9.415433,0
2023-06-02,9.580000,9.580000,9.580000,9.580000,9.366546,0
2023-06-05,9.580000,9.580000,9.580000,9.580000,9.366546,0
2023-06-06,9.590000,9.590000,9.590000,9.590000,9.376324,0
2023-06-07,9.540000,9.540000,9.540000,9.540000,9.327437,0
2023-06-08,9.580000,9.580000,9.580000,9.580000,9.366546,0
2023-06-09,9.560000,9.560000,9.560000,9.560000,9.346993,0
2023-06-12,9.580000,9.580000,9.580000,9.580000,9.366546,0
2023-06-13,9.530000,9.530000,9.530000,9.530000,9.317660,0
2023-06-14,9.540000,9.540000,9.540000,9.540000,9.327437,0
2023-06-15,9.600000,9.600000,9.600000,9.600000,9.386102,0
2023-06-16,9.570000,9.570000,9.570000,9.570000,9.356769,0
