Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,11.620000,11.620000,11.620000,11.620000,10.720239,0
2021-01-05,11.600000,11.600000,11.600000,11.600000,10.701787,0
2021-01-06,11.540000,11.540000,11.540000,11.540000,10.646437,0
2021-01-07,11.510000,11.510000,11.510000,11.510000,10.618759,0
2021-01-08,11.500000,11.500000,11.500000,11.500000,10.609530,0
2021-01-11,11.480000,11.480000,11.480000,11.480000,10.591076,0
2021-01-12,11.480000,11.480000,11.480000,11.480000,10.591076,0
2021-01-13,11.520000,11.520000,11.520000,11.520000,10.627985,0
2021-01-14,11.500000,11.500000,11.500000,11.500000,10.609530,0
2021-01-15,11.520000,11.520000,11.520000,11.520000,10.627985,0
2021-01-19,11.530000,11.530000,11.530000,11.530000,10.637209,0
2021-01-20,11.530000,11.530000,11.530000,11.530000,10.637209,0
2021-01-21,11.510000,11.510000,11.510000,11.510000,10.618759,0
2021-01-22,11.510000,11.510000,11.510000,11.510000,10.618759,0
2021-01-25,11.540000,11.540000,11.540000,11.540000,10.646437,0
2021-01-26,11.540000,11.540000,11.540000,11.540000,10.646437,0
2021-01-27,11.540000,11.540000,11.540000,11.540000,10.646437,0
2021-01-28,11.530000,11.530000,11.530000,11.530000,10.637209,0
2021-01-29,11.510000,11.510000,11.510000,11.510000,10.636286,0
2021-02-01,11.520000,11.520000,11.520000,11.520000,10.645524,0
2021-02-02,11.500000,11.500000,11.500000,11.500000,10.627044,0
2021-02-03,11.480000,11.480000,11.480000,11.480000,10.608561,0
2021-02-04,11.480000,11.480000,11.480000,11.480000,10.608561,0
2021-02-05,11.460000,11.460000,11.460000,11.460000,10.590081,0
2021-02-08,11.460000,11.460000,11.460000,11.460000,10.590081,0
2021-02-09,11.470000,11.470000,11.470000,11.470000,10.599323,0
2021-02-10,11.490000,11.490000,11.490000,11.490000,10.617802,0
2021-02-11,11.480000,11.480000,11.480000,11.480000,10.608561,0
2021-02-12,11.440000,11.440000,11.440000,11.440000,10.571597,0
2021-02-16,11.390000,11.390000,11.390000,11.390000,10.525392,0
2021-02-17,11.410000,11.410000,11.410000,11.410000,10.543876,0
2021-02-18,11.410000,11.410000,11.410000,11.410000,10.543876,0
2021-02-19,11.370000,11.370000,11.370000,11.370000,10.506912,0
2021-02-22,11.340000,11.340000,11.340000,11.340000,10.479190,0
2021-02-23,11.330000,11.330000,11.330000,11.330000,10.469950,0
2021-02-24,11.310000,11.310000,11.310000,11.310000,10.451466,0
2021-02-25,11.230000,11.230000,11.230000,11.230000,10.377541,0
2021-02-26,11.320000,11.320000,11.320000,11.320000,10.476564,0
2021-03-01,11.300000,11.300000,11.300000,11.300000,10.458054,0
2021-03-02,11.310000,11.310000,11.310000,11.310000,10.467310,0
2021-03-03,11.280000,11.280000,11.280000,11.280000,10.439548,0
2021-03-04,11.240000,11.240000,11.240000,11.240000,10.402528,0
2021-03-05,11.230000,11.230000,11.230000,11.230000,10.393274,0
2021-03-08,11.190000,11.190000,11.190000,11.190000,10.356251,0
2021-03-09,11.220000,11.220000,11.220000,11.220000,10.384015,0
2021-03-10,11.230000,11.230000,11.230000,11.230000,10.393274,0
2021-03-11,11.230000,11.230000,11.230000,11.230000,10.393274,0
2021-03-12,11.170000,11.170000,11.170000,11.170000,10.337742,0
2021-03-15,11.180000,11.180000,11.180000,11.180000,10.346996,0
2021-03-16,11.170000,11.170000,11.170000,11.170000,10.337742,0
2021-03-17,11.160000,11.160000,11.160000,11.160000,10.328485,0
2021-03-18,11.120000,11.120000,11.120000,11.120000,10.291469,0
2021-03-19,11.130000,11.130000,11.130000,11.130000,10.300720,0
2021-03-22,11.160000,11.160000,11.160000,11.160000,10.328485,0
2021-03-23,11.190000,11.190000,11.190000,11.190000,10.356251,0
2021-03-24,11.200000,11.200000,11.200000,11.200000,10.365505,0
2021-03-25,11.190000,11.190000,11.190000,11.190000,10.356251,0
2021-03-26,11.170000,11.170000,11.170000,11.170000,10.337742,0
2021-03-29,11.150000,11.150000,11.150000,11.150000,10.319228,0
2021-03-30,11.150000,11.150000,11.150000,11.150000,10.319228,0
2021-03-31,11.140000,11.140000,11.140000,11.140000,10.333146,0
2021-04-01,11.190000,11.190000,11.190000,11.190000,10.379523,0
2021-04-05,11.170000,11.170000,11.170000,11.170000,10.360972,0
2021-04-06,11.200000,11.200000,11.200000,11.200000,10.388799,0
2021-04-07,11.190000,11.190000,11.190000,11.190000,10.379523,0
2021-04-08,11.210000,11.210000,11.210000,11.210000,10.398075,0
2021-04-09,11.200000,11.200000,11.200000,11.200000,10.388799,0
2021-04-12,11.190000,11.190000,11.190000,11.190000,10.379523,0
2021-04-13,11.220000,11.220000,11.220000,11.220000,10.407350,0
2021-04-14,11.210000,11.210000,11.210000,11.210000,10.398075,0
2021-04-15,11.260000,11.260000,11.260000,11.260000,10.444452,0
2021-04-16,11.230000,11.230000,11.230000,11.230000,10.416630,0
2021-04-19,11.230000,11.230000,11.230000,11.230000,10.416630,0
2021-04-20,11.240000,11.240000,11.240000,11.240000,10.425904,0
2021-04-21,11.250000,11.250000,11.250000,11.250000,10.435176,0
2021-04-22,11.260000,11.260000,11.260000,11.260000,10.444452,0
2021-04-23,11.250000,11.250000,11.250000,11.250000,10.435176,0
2021-04-26,11.250000,11.250000,11.250000,11.250000,10.435176,0
2021-04-27,11.220000,11.220000,11.220000,11.220000,10.407350,0
2021-04-28,11.220000,11.220000,11.220000,11.220000,10.407350,0
2021-04-29,11.220000,11.220000,11.220000,11.220000,10.407350,0
2021-04-30,11.230000,11.230000,11.230000,11.230000,10.432435,0
2021-05-03,11.230000,11.230000,11.230000,11.230000,10.432435,0
2021-05-04,11.240000,11.240000,11.240000,11.240000,10.441727,0
2021-05-05,11.250000,11.250000,11.250000,11.250000,10.451010,0
2021-05-06,11.260000,11.260000,11.260000,11.260000,10.460302,0
2021-05-07,11.260000,11.260000,11.260000,11.260000,10.460302,0
2021-05-10,11.230000,11.230000,11.230000,11.230000,10.432435,0
2021-05-11,11.210000,11.210000,11.210000,11.210000,10.413854,0
2021-05-12,11.170000,11.170000,11.170000,11.170000,10.376696,0
2021-05-13,11.180000,11.180000,11.180000,11.180000,10.385985,0
2021-05-14,11.210000,11.210000,11.210000,11.210000,10.413854,0
2021-05-17,11.200000,11.200000,11.200000,11.200000,10.404564,0
2021-05-18,11.200000,11.200000,11.200000,11.200000,10.404564,0
2021-05-19,11.180000,11.180000,11.180000,11.180000,10.385985,0
2021-05-20,11.210000,11.210000,11.210000,11.210000,10.413854,0
2021-05-21,11.210000,11.210000,11.210000,11.210000,10.413854,0
2021-05-24,11.230000,11.230000,11.230000,11.230000,10.432435,0
2021-05-25,11.260000,11.260000,11.260000,11.260000,10.460302,0
2021-05-26,11.250000,11.250000,11.250000,11.250000,10.451010,0
2021-05-27,11.230000,11.230000,11.230000,11.230000,10.432435,0
2021-05-28,11.240000,11.240000,11.240000,11.240000,10.458489,0
2021-06-01,11.230000,11.230000,11.230000,11.230000,10.449183,0
2021-06-02,11.240000,11.240000,11.240000,11.240000,10.458489,0
2021-06-03,11.220000,11.220000,11.220000,11.220000,10.439876,0
2021-06-04,11.260000,11.260000,11.260000,11.260000,10.477096,0
2021-06-07,11.250000,11.250000,11.250000,11.250000,10.467789,0
2021-06-08,11.270000,11.270000,11.270000,11.270000,10.486402,0
2021-06-09,11.300000,11.300000,11.300000,11.300000,10.514313,0
2021-06-10,11.320000,11.320000,11.320000,11.320000,10.532922,0
2021-06-11,11.310000,11.310000,11.310000,11.310000,10.523620,0
2021-06-14,11.290000,11.290000,11.290000,11.290000,10.505009,0
2021-06-15,11.280000,11.280000,11.280000,11.280000,10.495706,0
2021-06-16,11.250000,11.250000,11.250000,11.250000,10.467789,0
2021-06-17,11.290000,11.290000,11.290000,11.290000,10.505009,0
2021-06-18,11.330000,11.330000,11.330000,11.330000,10.542230,0
2021-06-21,11.290000,11.290000,11.290000,11.290000,10.505009,0
2021-06-22,11.300000,11.300000,11.300000,11.300000,10.514313,0
2021-06-23,11.290000,11.290000,11.290000,11.290000,10.505009,0
2021-06-24,11.290000,11.290000,11.290000,11.290000,10.505009,0
2021-06-25,11.270000,11.270000,11.270000,11.270000,10.486402,0
2021-06-28,11.300000,11.300000,11.300000,11.300000,10.514313,0
2021-06-29,11.310000,11.310000,11.310000,11.310000,10.523620,0
2021-06-30,11.310000,11.310000,11.310000,11.310000,10.539461,0
2021-07-01,11.310000,11.310000,11.310000,11.310000,10.539461,0
2021-07-02,11.330000,11.330000,11.330000,11.330000,10.558099,0
2021-07-06,11.370000,11.370000,11.370000,11.370000,10.595375,0
2021-07-07,11.390000,11.390000,11.390000,11.390000,10.614011,0
2021-07-08,11.410000,11.410000,11.410000,11.410000,10.632649,0
2021-07-09,11.360000,11.360000,11.360000,11.360000,10.586058,0
2021-07-12,11.360000,11.360000,11.360000,11.360000,10.586058,0
2021-07-13,11.330000,11.330000,11.330000,11.330000,10.558099,0
2021-07-14,11.370000,11.370000,11.370000,11.370000,10.595375,0
2021-07-15,11.390000,11.390000,11.390000,11.390000,10.614011,0
2021-07-16,11.380000,11.380000,11.380000,11.380000,10.604694,0
2021-07-19,11.440000,11.440000,11.440000,11.440000,10.660603,0
2021-07-20,11.430000,11.430000,11.430000,11.430000,10.651286,0
2021-07-21,11.390000,11.390000,11.390000,11.390000,10.614011,0
2021-07-22,11.420000,11.420000,11.420000,11.420000,10.641967,0
2021-07-23,11.400000,11.400000,11.400000,11.400000,10.623328,0
2021-07-26,11.390000,11.390000,11.390000,11.390000,10.614011,0
2021-07-27,11.420000,11.420000,11.420000,11.420000,10.641967,0
2021-07-28,11.430000,11.430000,11.430000,11.430000,10.651286,0
2021-07-29,11.410000,11.410000,11.410000,11.410000,10.632649,0
2021-07-30,11.430000,11.430000,11.430000,11.430000,10.668115,0
2021-08-02,11.460000,11.460000,11.460000,11.460000,10.696117,0
2021-08-03,11.460000,11.460000,11.460000,11.460000,10.696117,0
2021-08-04,11.460000,11.460000,11.460000,11.460000,10.696117,0
2021-08-05,11.430000,11.430000,11.430000,11.430000,10.668115,0
2021-08-06,11.380000,11.380000,11.380000,11.380000,10.621451,0
2021-08-09,11.360000,11.360000,11.360000,11.360000,10.602782,0
2021-08-10,11.340000,11.340000,11.340000,11.340000,10.584116,0
2021-08-11,11.340000,11.340000,11.340000,11.340000,10.584116,0
2021-08-12,11.340000,11.340000,11.340000,11.340000,10.584116,0
2021-08-13,11.380000,11.380000,11.380000,11.380000,10.621451,0
2021-08-16,11.390000,11.390000,11.390000,11.390000,10.630782,0
2021-08-17,11.390000,11.390000,11.390000,11.390000,10.630782,0
2021-08-18,11.390000,11.390000,11.390000,11.390000,10.630782,0
2021-08-19,11.400000,11.400000,11.400000,11.400000,10.640113,0
2021-08-20,11.400000,11.400000,11.400000,11.400000,10.640113,0
2021-08-23,11.400000,11.400000,11.400000,11.400000,10.640113,0
2021-08-24,11.380000,11.380000,11.380000,11.380000,10.621451,0
2021-08-25,11.360000,11.360000,11.360000,11.360000,10.602782,0
2021-08-26,11.360000,11.360000,11.360000,11.360000,10.602782,0
2021-08-27,11.390000,11.390000,11.390000,11.390000,10.630782,0
2021-08-30,11.400000,11.400000,11.400000,11.400000,10.640113,0
2021-08-31,11.390000,11.390000,11.390000,11.390000,10.647591,0
2021-09-01,11.390000,11.390000,11.390000,11.390000,10.647591,0
2021-09-02,11.400000,11.400000,11.400000,11.400000,10.656940,0
2021-09-03,11.380000,11.380000,11.380000,11.380000,10.638248,0
2021-09-07,11.350000,11.350000,11.350000,11.350000,10.610203,0
2021-09-08,11.370000,11.370000,11.370000,11.370000,10.628898,0
2021-09-09,11.400000,11.400000,11.400000,11.400000,10.656940,0
2021-09-10,11.380000,11.380000,11.380000,11.380000,10.638248,0
2021-09-13,11.390000,11.390000,11.390000,11.390000,10.647591,0
2021-09-14,11.420000,11.420000,11.420000,11.420000,10.675637,0
2021-09-15,11.410000,11.410000,11.410000,11.410000,10.666288,0
2021-09-16,11.390000,11.390000,11.390000,11.390000,10.647591,0
2021-09-17,11.370000,11.370000,11.370000,11.370000,10.628898,0
2021-09-20,11.400000,11.400000,11.400000,11.400000,10.656940,0
2021-09-21,11.400000,11.400000,11.400000,11.400000,10.656940,0
2021-09-22,11.410000,11.410000,11.410000,11.410000,10.666288,0
2021-09-23,11.340000,11.340000,11.340000,11.340000,10.600855,0
2021-09-24,11.320000,11.320000,11.320000,11.320000,10.582152,0
2021-09-27,11.300000,11.300000,11.300000,11.300000,10.563459,0
2021-09-28,11.260000,11.260000,11.260000,11.260000,10.526067,0
2021-09-29,11.270000,11.270000,11.270000,11.270000,10.535416,0
2021-09-30,11.270000,11.270000,11.270000,11.270000,10.551332,0
2021-10-01,11.300000,11.300000,11.300000,11.300000,10.579418,0
2021-10-04,11.290000,11.290000,11.290000,11.290000,10.570057,0
2021-10-05,11.260000,11.260000,11.260000,11.260000,10.541969,0
2021-10-06,11.260000,11.260000,11.260000,11.260000,10.541969,0
2021-10-07,11.230000,11.230000,11.230000,11.230000,10.513883,0
2021-10-08,11.200000,11.200000,11.200000,11.200000,10.485794,0
2021-10-11,11.190000,11.190000,11.190000,11.190000,10.476435,0
2021-10-12,11.230000,11.230000,11.230000,11.230000,10.513883,0
2021-10-13,11.250000,11.250000,11.250000,11.250000,10.532605,0
2021-10-14,11.270000,11.270000,11.270000,11.270000,10.551332,0
2021-10-15,11.240000,11.240000,11.240000,11.240000,10.523245,0
2021-10-18,11.240000,11.240000,11.240000,11.240000,10.523245,0
2021-10-19,11.210000,11.210000,11.210000,11.210000,10.495157,0
2021-10-20,11.190000,11.190000,11.190000,11.190000,10.476435,0
2021-10-21,11.170000,11.170000,11.170000,11.170000,10.457709,0
2021-10-22,11.190000,11.190000,11.190000,11.190000,10.476435,0
2021-10-25,11.200000,11.200000,11.200000,11.200000,10.485794,0
2021-10-26,11.220000,11.220000,11.220000,11.220000,10.504520,0
2021-10-27,11.270000,11.270000,11.270000,11.270000,10.551332,0
2021-10-28,11.240000,11.240000,11.240000,11.240000,10.523245,0
2021-10-29,11.250000,11.250000,11.250000,11.250000,10.549500,0
2021-11-01,11.240000,11.240000,11.240000,11.240000,10.540124,0
2021-11-02,11.260000,11.260000,11.260000,11.260000,10.558878,0
2021-11-03,11.230000,11.230000,11.230000,11.230000,10.530746,0
2021-11-04,11.270000,11.270000,11.270000,11.270000,10.568254,0
2021-11-05,11.320000,11.320000,11.320000,11.320000,10.615142,0
2021-11-08,11.290000,11.290000,11.290000,11.290000,10.587009,0
2021-11-09,11.330000,11.330000,11.330000,11.330000,10.624518,0
2021-11-10,11.250000,11.250000,11.250000,11.250000,10.549500,0
2021-11-11,11.230000,11.230000,11.230000,11.230000,10.530746,0
2021-11-12,11.230000,11.230000,11.230000,11.230000,10.530746,0
2021-11-15,11.190000,11.190000,11.190000,11.190000,10.493236,0
2021-11-16,11.180000,11.180000,11.180000,11.180000,10.483858,0
2021-11-17,11.200000,11.200000,11.200000,11.200000,10.502614,0
2021-11-18,11.210000,11.210000,11.210000,11.210000,10.511992,0
2021-11-19,11.240000,11.240000,11.240000,11.240000,10.540124,0
2021-11-22,11.180000,11.180000,11.180000,11.180000,10.483858,0
2021-11-23,11.130000,11.130000,11.130000,11.130000,10.436974,0
2021-11-24,11.160000,11.160000,11.160000,11.160000,10.465102,0
2021-11-26,11.250000,11.250000,11.250000,11.250000,10.549500,0
2021-11-29,11.230000,11.230000,11.230000,11.230000,10.530746,0
